-0.577350,  -0.577350,   0.577350  
0.934172,   0.356822,  0 
0.934172,   -0.356822,   0
-0.934172,   0.356822,  0  
-0.934172,   -0.356822,  0 
0,   0.934172,   0.356822  
0,0.934172,-0.356822  
0.356822,   0,   -0.934172   
-0.356822,   0,   -0.934172   
0,   -0.934172,   -0.356822   
0,   -0.934172,   0.356822   
0.356822,   0,   0.934172   
-0.356822, 0,   0.934172   
0.577350,  0.577350,   -0.577350   
0.577350,   0.577350,  0.577350 
 -0.577350,   0.577350,  -0.577350
 -0.577350,  0.577350,  0.577350      
0.577350,-0.577350,-0.577350
    0.577350,  -0.577350,  0.577350
   -0.577350, -0.577350,  -0.577350
